penalty,support,status,norm,prime,valuation,gcd_degree
3,1:1;1:5;1:32,survivor,24221957889525168015921801032952858978961,,,
3,1:1;1:6;1:7,obstructed,24925689655737031584259015256983834257359,38191607,1,1
3,1:1;1:6;1:8,obstructed,24148118663025855387900383062346815856141,937,1,1
3,1:1;1:6;1:9,obstructed,24219114779837528818711167490705057385969,6029,1,1
3,1:1;1:6;1:10,obstructed,24219476378129036672531152365610389590117,6833,1,1
3,1:1;1:6;1:11,obstructed,24147932321183303462664743868292943619293,517373,1,1
3,1:1;1:6;1:13,obstructed,24147896397615525193527848614124189220397,8039,1,1
3,1:1;1:6;1:14,survivor,24219792835570818343219590295915154863631,,,
3,1:1;1:6;1:15,survivor,24210874502693372465947268711975259143669,,,
3,1:1;1:6;1:16,survivor,24211350334853122116256736420968808050273,,,
3,1:1;1:6;1:19,obstructed,24217312919954518088296972948720142181557,937,1,1
3,1:1;1:6;1:20,survivor,24216478817635084738526520812737614132823,,,
3,1:1;1:6;1:21,survivor,24211344835444904758201755859725434659943,,,
3,1:1;1:6;1:23,obstructed,24214244642903631465015678570649017451231,373154087,1,1
3,1:1;1:6;1:25,survivor,24209977619894851705113889026909868818119,,,
3,1:1;1:6;1:26,obstructed,24211359710123756608775831672774100317357,196871109991,1,1
3,1:1;1:6;1:29,obstructed,24211341985002908072072618192769716686543,781550309,1,1
3,1:1;1:7;1:8,obstructed,24925688822479701548323917479297217882239,10495765739,1,1
3,1:1;1:7;1:9,obstructed,24147835904293998019966941750782841428413,1363147578413659,1,1
3,1:1;1:7;1:13,obstructed,24147984553095360779709747195459227845319,108290574732159851,1,1
3,1:1;1:7;1:16,obstructed,24219752345905888949372547255835496088863,112504596344506762951,1,1
3,1:1;1:7;1:18,obstructed,24211401792445058524726244008362964113869,7578101,1,1
3,1:1;1:7;1:23,obstructed,24216587075164746579905691667518824001571,401,1,1
3,1:1;1:7;1:24,survivor,24211417873617938133303856230137159357299,,,
3,1:1;1:7;1:26,obstructed,24219777356170743715517383365116681017921,16481,1,1
3,1:1;1:7;1:29,obstructed,24219429873381944413760309081874527003773,69192297627461521,1,1
3,1:1;1:7;1:31,obstructed,24219760460357875211295287653972967540647,2143,1,1
3,1:1;1:8;1:9,survivor,24925687905145162685246439158166586953059,,,
3,1:1;1:8;1:10,survivor,24147869065223706035885787941346771592039,,,
3,1:1;1:8;1:12,obstructed,24214358545891748058566360089580216858999,3617,1,1
3,1:1;1:8;1:13,obstructed,24211419387748588846988742695518338000463,401,1,1
3,1:1;1:8;1:14,obstructed,24219813426985471842917027253245955882403,4019,1,1
3,1:1;1:8;1:20,survivor,24217248293354660861898331444546950799837,,,
3,1:1;1:8;1:23,obstructed,24219872186130166909850810668029408320137,499819,1,1
3,1:1;1:8;1:26,survivor,24219069365193651050931997718396361424423,,,
3,1:1;1:8;1:28,obstructed,24210389731549851080660259301483399119919,389269,1,1
3,1:1;1:8;1:29,survivor,24147858963704910543094145714799537479801,,,
3,1:1;1:8;1:30,obstructed,24148058059453687881376917924524123368769,401,1,1
3,1:1;1:8;1:31,survivor,24210831628855761969897036466393814159369,,,
3,1:1;1:9;1:10,obstructed,24925700667042374483830124908266939463589,6163,1,1
3,1:1;1:9;1:12,survivor,24217262082014504254928085216744507238801,,,
3,1:1;1:9;1:14,survivor,24211317797119082703071651344995757229507,,,
3,1:1;1:9;1:16,survivor,24219041882819638080772220628963377013829,,,
3,1:1;1:9;1:20,obstructed,24221649831319523419801241103381122493139,1769093861,1,1
3,1:1;1:9;1:21,obstructed,24211433827610915961041670213421910441263,937,1,1
3,1:1;1:9;1:23,obstructed,24214812823924454783847988715352961147519,82007,1,1
3,1:1;1:9;1:26,obstructed,24216541547564848273971889987866993350743,10853,1,1
3,1:1;1:9;1:28,obstructed,24224169305478048128470768416131967055469,129986495783,1,1
3,1:1;1:10;1:12,obstructed,24148044634775929496150560226420378231357,3631801,1,1
3,1:1;1:10;1:14,obstructed,24211366095529326681810080048631361082287,7369,1,1
3,1:1;1:10;1:21,survivor,24147903241774579212468222858216737193623,,,
3,1:1;1:10;1:26,survivor,24216799788915415587753317641282229147047,,,
3,1:1;1:10;1:28,survivor,24146656458050057248914683960034347069153,,,
3,1:1;1:10;1:29,obstructed,24155899775214442321495207767322495015417,8154315965479,1,1
3,1:1;1:10;1:32,survivor,24213973733029124772399143637416869222721,,,
3,1:1;1:12;1:13,survivor,24925694622714930338466930608806253008559,,,
3,1:1;1:12;1:16,obstructed,24210834733297425185224207355741045066291,1607,1,1
3,1:1;1:12;1:18,obstructed,24219490513301729094702679960484303895961,937,1,1
3,1:1;1:12;1:23,obstructed,24150792750485849873961371210517941752703,4019,1,1
3,1:1;1:12;1:30,obstructed,24216480623032483517981868914647868772449,19429,1,1
3,1:1;1:13;1:14,obstructed,24927338469079986180435271504978371162989,16883,1,1
3,1:1;1:13;1:23,obstructed,24213963589390322968774059538274337599093,4421,1,1
3,1:1;1:13;1:31,obstructed,24214759041115228685624508489755737217833,54403,1,1
3,1:1;1:14;1:16,survivor,24147925091713037895636537771523653384881,,,
3,1:1;1:14;1:18,survivor,24216927135750198417154400019414551011171,,,
3,1:1;1:14;1:21,obstructed,24214807904971810071028440410361131805983,6810332221591,1,1
3,1:1;1:14;1:23,survivor,24213898224368675384208178366150683540049,,,
3,1:1;1:14;1:26,obstructed,24160973637357606477925858328594636636303,401,1,1
3,1:1;1:14;1:29,survivor,24147855659094359579409416967504800740511,,,
3,1:1;1:29;1:30,obstructed,24925688787970713209007261459596725453139,239,3,3
4,-1:1;1:2,obstructed,32259154712994714422686617498298202311649,2143,1,1
4,-1:1;1:3,obstructed,31833784520087590921647568644999940254931,625913,1,1
4,-1:1;1:4,survivor,31808488451986029902083251959892134597497,,,
4,-1:1;1:5,obstructed,31806969543050415998907541427200244205239,206627,1,1
4,-1:1;1:6,survivor,31806877990273982381458514676448979752879,,,
4,-1:1;1:7,survivor,31806872452870098314534012708788350595223,,,
4,-1:1;1:8,obstructed,31806872115710895363023204124873216530849,43013,1,1
4,-1:1;1:9,obstructed,31806872098496144045291045213431290446093,135850807,1,1
4,-1:1;1:10,obstructed,31806872109740775351010302558102664403951,533989,1,1
4,-1:1;1:11,survivor,31806866199776075790532831727715744705101,,,
4,-1:1;1:12,survivor,31806872092288033408283114856372205334827,,,
4,-1:1;1:13,obstructed,31806889293833126347510278870644976460001,401,1,1
4,-1:1;1:14,obstructed,31806874472453585153864898825894710576509,73814033,1,1
4,-1:1;1:15,obstructed,31806872094205926481081571210248483958047,401,1,1
4,-1:1;1:16,obstructed,31806843711457440237700099016126151086561,2143,1,1
4,-1:1;1:17,obstructed,31805255808887123125856348862655265978191,927095495722939,1,1
